model,condition,kind,label,tp,fp,fn,precision,recall,f1
Sol,minimal_R,entity,ANAT,654,56,33,0.9211267605633803,0.9519650655021834,0.9362920544022907
Sol,minimal_R,entity,OBS-DP,467,65,130,0.8778195488721805,0.7822445561139029,0.8272807794508416
Sol,minimal_R,entity,OBS-DA,186,15,19,0.9253731343283582,0.9073170731707317,0.9162561576354681
Sol,minimal_R,entity,OBS-U,75,52,22,0.5905511811023622,0.7731958762886598,0.6696428571428571
Sol,minimal_R,relation,Modify,472,228,259,0.6742857142857143,0.6456908344733242,0.6596785464709993
Sol,minimal_R,relation,LocatedAt,242,157,130,0.606516290726817,0.6505376344086021,0.6277561608300908
Sol,minimal_R,relation,SuggestiveOf,34,48,30,0.4146341463414634,0.53125,0.4657534246575343
Sol,author,entity,ANAT,660,83,27,0.8882907133243607,0.9606986899563319,0.9230769230769231
Sol,author,entity,OBS-DP,417,70,180,0.8562628336755647,0.6984924623115578,0.7693726937269373
Sol,author,entity,OBS-DA,183,8,22,0.9581151832460733,0.8926829268292683,0.9242424242424242
Sol,author,entity,OBS-U,80,66,17,0.547945205479452,0.8247422680412371,0.6584362139917695
Sol,author,relation,Modify,488,212,243,0.6971428571428572,0.667578659370725,0.6820405310971349
Sol,author,relation,LocatedAt,238,155,134,0.6055979643765903,0.6397849462365591,0.6222222222222221
Sol,author,relation,SuggestiveOf,35,38,29,0.4794520547945205,0.546875,0.5109489051094891
Sol,author_full,entity,ANAT,664,85,23,0.8865153538050734,0.9665211062590975,0.924791086350975
Sol,author_full,entity,OBS-DP,420,57,177,0.8805031446540881,0.7035175879396985,0.782122905027933
Sol,author_full,entity,OBS-DA,183,9,22,0.953125,0.8926829268292683,0.9219143576826196
Sol,author_full,entity,OBS-U,82,70,15,0.5394736842105263,0.845360824742268,0.6586345381526105
Sol,author_full,relation,Modify,492,209,239,0.7018544935805991,0.6730506155950753,0.6871508379888269
